url,family,locale,source,http_status,final_url,redirect_count,indexable,canonical,title,meta_description,h1,robots_meta,hreflang,structured_data_types,notes
https://vediums.com/,homepage,pt-BR,sitemap.xml,200,https://vediums.com/,0,sim,https://vediums.com/,Vedium - Cursos Online ao Vivo em Cinco Idiomas,"Aprenda inglês (níveis A1 a C1) e iorubá com a Vedium: aulas ao vivo com professores qualificados, certificado de conclusão e suporte ao aluno. Comece hoje a sua jornada de fluência.","1 h1(s): Aulas de idiomas online, ao vivo, com professores nativos e especialistas","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",6,ContactPoint;EducationalOrganization;PostalAddress,"CONFIRMADO EM PRODUCAO (amostra detalhada, verificado em 2026-08-24)."
https://vediums.com/cursos-de-idiomas-online,course-hub,pt-BR,sitemap.xml,200,https://vediums.com/cursos-de-idiomas-online,0,sim,https://vediums.com/cursos-de-idiomas-online,Cursos de Idiomas Online ao Vivo | Todos os Níveis | Vedium,"Cursos online ao vivo de inglês, espanhol, hebraico, iorubá e português para estrangeiros. Do iniciante ao avançado, com professores qualificados.",1 h1(s): Cursos de idiomas online ao vivo,"index, follow, max-image-preview:large",6,Course;EducationalOrganization;ItemList;ListItem,"CONFIRMADO EM PRODUCAO (amostra detalhada, verificado em 2026-08-24)."
https://vediums.com/sobre,institutional,pt-BR,sitemap.xml,200,https://vediums.com/sobre,0,sim,https://vediums.com/sobre,Sobre a Vedium - Escola de Idiomas Online ao Vivo,"Conheça a Vedium: escola online com aulas ao vivo de inglês, espanhol, hebraico, iorubá e português para estrangeiros, professores e certificado.",0 h1(s),"index, follow, max-image-preview:large",6,AboutPage;EducationalOrganization,"CONFIRMADO EM PRODUCAO (amostra detalhada, verificado em 2026-08-24)."
https://vediums.com/imprensa,institutional,pt-BR,sitemap.xml,200,https://vediums.com/imprensa,0,sim,https://vediums.com/imprensa,Vedium para Imprensa e Parcerias | Informações Institucionais,"Informações institucionais verificáveis sobre a Vedium, seu catálogo de idiomas online ao vivo e contatos para imprensa e parcerias.",1 h1(s): Vedium para imprensa e parcerias,"index, follow, max-image-preview:large",2,AboutPage;EducationalOrganization,"CONFIRMADO EM PRODUCAO (amostra detalhada, verificado em 2026-08-24)."
https://vediums.com/como-funciona,institutional,pt-BR,sitemap.xml,200,https://vediums.com/como-funciona,0,sim,https://vediums.com/como-funciona,Como funciona - Vedium,"Entenda em 3 passos como estudar idiomas online ao vivo na Vedium: teste de nivel, aula diagnostica e plano de estudo.",1 h1(s): Da duvida ao plano de estudo,"index, follow, max-image-preview:large",6,HowTo;HowToStep;Organization,"CONFIRMADO EM PRODUCAO (amostra detalhada, verificado em 2026-08-24)."
https://vediums.com/aula-diagnostica,conversion,pt-BR,sitemap.xml,200,https://vediums.com/aula-diagnostica,0,sim,https://vediums.com/aula-diagnostica,Aula diagnóstica - Vedium,"Agende uma aula diagnóstica para confirmar nível, objetivo, frequência e melhor plano antes da matrícula na Vedium.",1 h1(s): Confirme seu nível com orientação humana,"index, follow, max-image-preview:large",6,BreadcrumbList;ListItem;Organization;Service,"CONFIRMADO EM PRODUCAO (amostra detalhada, verificado em 2026-08-24)."
https://vediums.com/planos,conversion,pt-BR,sitemap.xml,200,https://vediums.com/planos,0,sim,https://vediums.com/planos,Planos - Vedium,"Compare planos de aulas ao vivo da Vedium por frequência, objetivo e ritmo de estudo antes de seguir para a matrícula.",1 h1(s): Escolha a frequência certa para seu objetivo,"index, follow, max-image-preview:large",6,BreadcrumbList;ListItem;WebPage,"CONFIRMADO EM PRODUCAO (amostra detalhada, verificado em 2026-08-24)."
https://vediums.com/quanto-custa-curso-de-idiomas,conversion,pt-BR,sitemap.xml,200,https://vediums.com/quanto-custa-curso-de-idiomas,0,,,,,,,,,"CONFIRMADO EM PRODUCAO: HTTP 200 sem redirect (--max-redirs 0), verificado em lote em 2026-08-24. Demais campos nao amostrados individualmente -- ver seo-snapshot.csv para a amostra detalhada."
https://vediums.com/matricula,conversion,pt-BR,sitemap.xml,200,https://vediums.com/matricula,0,sim,https://vediums.com/matricula,Matrícula - Vedium,"Escolha idioma, nível e plano antes de seguir para a plataforma Vedium, onde login e checkout são concluídos com segurança.",1 h1(s): Escolha a trilha antes de entrar na plataforma,"index, follow, max-image-preview:large",6,BreadcrumbList;ListItem;WebPage,"CONFIRMADO EM PRODUCAO (amostra detalhada, verificado em 2026-08-24)."
https://vediums.com/certificado,institutional,pt-BR,sitemap.xml,200,https://vediums.com/certificado,0,sim,https://vediums.com/certificado,Verificar certificado - Vedium,Verifique a autenticidade de certificados Vedium por código. Cada certificado tem QR code e link de verificação único.,1 h1(s): 🏆 Verificar Certificado,"index, follow",6,,"CONFIRMADO EM PRODUCAO (amostra detalhada, verificado em 2026-08-24)."
