url,title,title_length,meta_description,meta_description_length,canonical,h1_count,h1,robots,language,hreflang_count,schema_types,breadcrumb_present,og_title,og_description,og_image,twitter_card,status,notes
https://vediums.com/,Vedium - Cursos Online ao Vivo em Cinco Idiomas,47,"Aprenda inglês (níveis A1 a C1) e iorubá com a Vedium: aulas ao vivo com professores qualificados, certificado de conclusão e suporte ao aluno. Comece hoje a sua jornada de fluência.",182,https://vediums.com/,1,"Aulas de idiomas online, ao vivo, com professores nativos e especialistas","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",pt-BR,6,ContactPoint;EducationalOrganization;PostalAddress,nao,Vedium - Cursos Online ao Vivo em Cinco Idiomas,"Aulas ao vivo de inglês, espanhol, hebraico, iorubá e português para estrangeiros, com professores e certificado.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/en,Vedium - Live Online Courses in Five Languages,46,"Learn English (levels A1 to C1) and Yoruba with Vedium: live classes with qualified teachers, a completion certificate, and real student support. Start your fluency journey today.",179,https://vediums.com/en,0,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",en,6,ContactPoint;EducationalOrganization;PostalAddress,nao,Vedium - Live Online Courses in Five Languages,"Live English and Yoruba classes, with qualified teachers and a certificate. Start your fluency journey today.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/es,Vedium - Cursos Online en Vivo en Cinco Idiomas,47,"Aprende inglés (niveles A1 a C1) y yoruba con Vedium: clases en vivo con profesores calificados, certificado de finalización y acompañamiento real. Empieza tu camino hacia la fluidez hoy mismo.",193,https://vediums.com/es,0,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",es,6,ContactPoint;EducationalOrganization;PostalAddress,nao,Vedium - Cursos Online en Vivo en Cinco Idiomas,"Clases en vivo de inglés y yoruba, con profesores calificados y certificado. Empieza tu camino hacia la fluidez hoy mismo.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/fr,Vedium - Cours en Ligne et en Direct en Cinq Langues,52,Apprenez l,10,https://vediums.com/fr,0,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",fr,6,ContactPoint;EducationalOrganization;PostalAddress,nao,Vedium - Cours en Ligne et en Direct en Cinq Langues,Cours en direct d,https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/de,Vedium - Live-Onlinekurse in fünf Sprachen,42,"Lernen Sie Englisch (Niveau A1 bis C1) und Yoruba mit Vedium: Live-Unterricht mit qualifizierten Lehrkräften, Abschlusszertifikat und echter Lernbegleitung. Starten Sie noch heute Ihren Weg zur Sprachsicherheit.",211,https://vediums.com/de,0,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",de,6,ContactPoint;EducationalOrganization;PostalAddress,nao,Vedium - Live-Onlinekurse in fünf Sprachen,"Live-Unterricht in Englisch und Yoruba, mit qualifizierten Lehrkräften und Zertifikat. Starten Sie noch heute Ihren Weg zur Sprachsicherheit.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/ru,Vedium - Живые онлайн-курсы пяти языков,39,"Изучайте английский (уровни A1–C1) и йоруба с Vedium: живые занятия с квалифицированными преподавателями, сертификат об окончании и настоящее сопровождение. Начните свой путь к беглости речи уже сегодня.",203,https://vediums.com/ru,0,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",ru,7,ContactPoint;EducationalOrganization;PostalAddress,nao,Vedium - Живые онлайн-курсы пяти языков,"Живые занятия по английскому и йоруба, с квалифицированными преподавателями и сертификатом. Начните свой путь к беглости речи уже сегодня.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/cursos-de-idiomas-online,Cursos de Idiomas Online ao Vivo | Todos os Níveis | Vedium,59,"Cursos online ao vivo de inglês, espanhol, hebraico, iorubá e português para estrangeiros. Do iniciante ao avançado, com professores qualificados.",146,https://vediums.com/cursos-de-idiomas-online,1,Cursos de idiomas online ao vivo,"index, follow, max-image-preview:large",pt-BR,6,Course;EducationalOrganization;ItemList;ListItem,nao,Cursos de Idiomas Online ao Vivo | Todos os Níveis | Vedium,"Cursos online ao vivo de inglês, espanhol, hebraico, iorubá e português para estrangeiros. Do iniciante ao avançado, com professores qualificados.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,summary_large_image,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/en/catalogo,Course Catalog — Live Online Language Courses | Vedium,54,Vedium,6,https://vediums.com/en/catalogo,0,,"index, follow, max-image-preview:large",en,6,ItemList;ListItem,nao,Course Catalog — Live Online Language Courses | Vedium,Vedium,https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,summary_large_image,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/es/catalogo,Catálogo de Cursos — Cursos de Idiomas Online en Vivo | Vedium,62,"Catálogo de cursos en vivo de Vedium: inglés (A1 a C1), yoruba y portugués para extranjeros (PLE). Profesores calificados y certificado.",136,https://vediums.com/es/catalogo,0,,"index, follow, max-image-preview:large",es,6,ItemList;ListItem,nao,Catálogo de Cursos — Cursos de Idiomas Online en Vivo | Vedium,"Catálogo de cursos en vivo de Vedium: inglés (A1 a C1), yoruba y portugués para extranjeros (PLE). Profesores calificados y certificado.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,summary_large_image,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/fr/catalogo,Catalogue de Cours — Cours de Langues en Ligne en Direct | Vedium,65,"Catalogue de cours en direct Vedium : anglais (A1 à C1), yoruba et portugais pour étrangers (PLE). Professeurs qualifiés et certificat.",135,https://vediums.com/fr/catalogo,0,,"index, follow, max-image-preview:large",fr,6,ItemList;ListItem,nao,Catalogue de Cours — Cours de Langues en Ligne en Direct | Vedium,"Catalogue de cours en direct Vedium : anglais (A1 à C1), yoruba et portugais pour étrangers (PLE). Professeurs qualifiés et certificat.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,summary_large_image,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/de/catalogo,Kursverzeichnis — Live Online Sprachkurse | Vedium,50,"Vedium Live-Kursverzeichnis: Englisch (A1 bis C1), Yoruba und Portugiesisch für Ausländer (PLE). Qualifizierte Lehrkräfte und Zertifikat.",137,https://vediums.com/de/catalogo,0,,"index, follow, max-image-preview:large",de,6,ItemList;ListItem,nao,Kursverzeichnis — Live Online Sprachkurse | Vedium,"Vedium Live-Kursverzeichnis: Englisch (A1 bis C1), Yoruba und Portugiesisch für Ausländer (PLE). Qualifizierte Lehrkräfte und Zertifikat.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,summary_large_image,CONFIRMADO EM PRODUCAO (2026-08-24),
https://vediums.com/ru/catalogo,Каталог курсов — Живые онлайн-курсы языков | Vedium,51,"Каталог живых курсов Vedium: английский (A1–C1), йоруба и португальский для иностранцев (PLE). Квалифицированные преподаватели и сертификат.",140,https://vediums.com/ru/catalogo,0,,"index, follow, max-image-preview:large",ru,7,ItemList;ListItem,nao,Каталог курсов — Живые онлайн-курсы языков | Vedium,"Каталог живых курсов Vedium: английский (A1–C1), йоруба и португальский для иностранцев (PLE). Квалифицированные преподаватели и сертификат.",https://vediums.com/assets/vedium_core/vedium_assets/images/logos/Logo-color-quadrada.png,summary_large_image,CONFIRMADO EM PRODUCAO (2026-08-24),
