current_url,new_url,status_current,action,redirect_code,target_url,current_title,new_title,canonical,cluster,pillar,language,published_at_original,published_at_audit,date_conflict,index_status,notes
/blog/alfabeto-ioruba,/blog/alfabeto-ioruba,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,,,"Alfabeto iorubá: as 25 letras, vogais e tons (guia para iniciantes)","Alfabeto iorubá: as 25 letras, vogais e tons (guia para iniciantes)",/blog/alfabeto-ioruba,Iorubá,REVIEW: pilar não identificado,REVIEW: idioma não confirmado,2026-06-30,,NO,index (não verificado individualmente por robots/sitemap nesta sessão),"Sem correspondência direta na auditoria de 94 (Publicados_Auditoria) -- não cruzado, confiar apenas no dado do código."
/blog/saudacoes-em-ioruba,/blog/saudacoes-em-ioruba,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,,,"Saudações em iorubá: como cumprimentar (bom dia, obrigado e mais)","Saudações em iorubá: como cumprimentar (bom dia, obrigado e mais)",/blog/saudacoes-em-ioruba,Iorubá,REVIEW: pilar não identificado,REVIEW: idioma não confirmado,2026-06-30,,NO,index (não verificado individualmente por robots/sitemap nesta sessão),"Sem correspondência direta na auditoria de 94 (Publicados_Auditoria) -- não cruzado, confiar apenas no dado do código."
/blog/numeros-em-ioruba,/blog/numeros-em-ioruba,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,,,Números em iorubá de 1 a 20: como contar (e a lógica de base 20),Números em iorubá de 1 a 20: como contar (e a lógica de base 20),/blog/numeros-em-ioruba,Iorubá,REVIEW: pilar não identificado,REVIEW: idioma não confirmado,2026-06-30,,NO,index (não verificado individualmente por robots/sitemap nesta sessão),"Sem correspondência direta na auditoria de 94 (Publicados_Auditoria) -- não cruzado, confiar apenas no dado do código."
/blog/aprender-ioruba-lingua-e-cultura,/blog/aprender-ioruba-lingua-e-cultura,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,,,Iorubá: conheça o idioma e por que aprendê-lo,Iorubá: conheça o idioma e por que aprendê-lo,/blog/aprender-ioruba-lingua-e-cultura,Iorubá,REVIEW: pilar não identificado,REVIEW: idioma não confirmado,2026-06-02,,NO,index (não verificado individualmente por robots/sitemap nesta sessão),"Sem correspondência direta na auditoria de 94 (Publicados_Auditoria) -- não cruzado, confiar apenas no dado do código."
/blog/yoruba-alphabet-guide,/blog/yoruba-alphabet-guide,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,,,"Yoruba alphabet: the 25 letters, vowels and tones (a beginner's guide)","Yoruba alphabet: the 25 letters, vowels and tones (a beginner's guide)",/blog/yoruba-alphabet-guide,Yoruba,REVIEW: pilar não identificado,REVIEW: idioma não confirmado,2026-07-02,,NO,index (não verificado individualmente por robots/sitemap nesta sessão),"Sem correspondência direta na auditoria de 94 (Publicados_Auditoria) -- não cruzado, confiar apenas no dado do código."
/blog/yoruba-greetings,/blog/yoruba-greetings,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,,,"Yoruba greetings: how to say good morning, thank you and more","Yoruba greetings: how to say good morning, thank you and more",/blog/yoruba-greetings,Yoruba,REVIEW: pilar não identificado,REVIEW: idioma não confirmado,2026-07-02,,NO,index (não verificado individualmente por robots/sitemap nesta sessão),"Sem correspondência direta na auditoria de 94 (Publicados_Auditoria) -- não cruzado, confiar apenas no dado do código."
/blog/yoruba-numbers-1-to-20,/blog/yoruba-numbers-1-to-20,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,,,Yoruba numbers 1 to 20: how to count (and the base-20 logic),Yoruba numbers 1 to 20: how to count (and the base-20 logic),/blog/yoruba-numbers-1-to-20,Yoruba,REVIEW: pilar não identificado,REVIEW: idioma não confirmado,2026-07-02,,NO,index (não verificado individualmente por robots/sitemap nesta sessão),"Sem correspondência direta na auditoria de 94 (Publicados_Auditoria) -- não cruzado, confiar apenas no dado do código."
/blog/yoruba-language-and-culture,/blog/yoruba-language-and-culture,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,,,Yoruba: get to know the language and why you should learn it,Yoruba: get to know the language and why you should learn it,/blog/yoruba-language-and-culture,Yoruba,REVIEW: pilar não identificado,REVIEW: idioma não confirmado,2026-07-02,,NO,index (não verificado individualmente por robots/sitemap nesta sessão),"Sem correspondência direta na auditoria de 94 (Publicados_Auditoria) -- não cruzado, confiar apenas no dado do código."
/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,301,/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,Como saber seu nível real de inglês antes de escolher um curso,Como saber seu nível real de inglês antes de escolher um curso,/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,Inglês,/curso-de-ingles-online,pt-BR,2025-01-06,2025-01-06,NO,index (não verificado individualmente por robots/sitemap nesta sessão),
/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,301,/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,Inglês ao vivo ou gravado: o que muda na evolução do speaking,Inglês ao vivo ou gravado: o que muda na evolução do speaking,/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,Inglês,/curso-de-ingles-online,pt-BR,2025-01-13,2025-01-13,NO,index (não verificado individualmente por robots/sitemap nesta sessão),
/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,301,/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,"Como combinar leitura, escuta, fala e escrita no mesmo plano","Como combinar leitura, escuta, fala e escrita no mesmo plano",/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,Inglês,/curso-de-ingles-online,pt-BR,2026-06-15,2026-06-15,NO,index (não verificado individualmente por robots/sitemap nesta sessão),
/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,301,/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,Inglês,/curso-de-ingles-online,pt-BR,2026-06-22,2026-06-22,NO,index (não verificado individualmente por robots/sitemap nesta sessão),
/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,301,/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,Como a prática constante supera maratonas de estudo em inglês,Como a prática constante supera maratonas de estudo em inglês,/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,Inglês,/curso-de-ingles-online,pt-BR,2026-06-29,2026-06-29,NO,index (não verificado individualmente por robots/sitemap nesta sessão),
/blog/ingles/como-escrever-mensagens-curtas-e-claras-em-ingles-corporativo,/blog/ingles/como-escrever-mensagens-curtas-e-claras-em-ingles-corporativo,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,301,/blog/ingles/como-escrever-mensagens-curtas-e-claras-em-ingles-corporativo,Como escrever mensagens curtas e claras em inglês corporativo,Como escrever mensagens curtas e claras em inglês corporativo,/blog/ingles/como-escrever-mensagens-curtas-e-claras-em-ingles-corporativo,Inglês,/curso-de-ingles-online,pt-BR,2026-06-08,2026-06-08,NO,index (não verificado individualmente por robots/sitemap nesta sessão),
/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,LIVE (ver nota de verificação em 24-blog-source-of-truth.md),KEEP EXACT,301,/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,Inglês para conversas por telefone e chamadas de vídeo: Guia Prático de Fluência,Inglês para conversas por telefone e chamadas de vídeo: Guia Prático de Fluência,/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,Inglês,REVIEW: pilar não identificado,REVIEW: idioma não confirmado,2026-06-01,,NO,index (não verificado individualmente por robots/sitemap nesta sessão),"Sem correspondência direta na auditoria de 94 (Publicados_Auditoria) -- não cruzado, confiar apenas no dado do código."
