current_url,current_status,next_url,next_status,migration_action,canonical,indexability,redirect_required,notes
https://vediums.com/,200,/,200 (local),MIGRATED,self,index,NO,Home -- Fase Home
https://vediums.com/curso-de-ingles-online,200,/curso-de-ingles-online,200 (local),MIGRATED,self,index,NO,Fase D.2
https://vediums.com/curso-de-ioruba-online,200,/curso-de-ioruba-online,200 (local),MIGRATED,self,index,NO,Fase D
https://vediums.com/portugues-para-estrangeiros,200,/portugues-para-estrangeiros,200 (local),MIGRATED,self,index,NO,Fase D.3
https://vediums.com/curso-de-espanhol-online,200,/curso-de-espanhol-online,200 (local),MIGRATED,self,index,NO,Fase D.4
https://vediums.com/curso-de-hebraico-online,200,/curso-de-hebraico-online,200 (local),MIGRATED,self,index,NO,Fase D.5
https://vediums.com/empresas,200,/empresas,200 (local),MIGRATED,self,index,NO,Fase E.1
https://vediums.com/como-funciona,200,/como-funciona,200 (local),MIGRATED,self,index,NO,"Fase F.1 -- consolida /como-funciona + /metodologia (ver 16-how-it-works-seo-parity.md)"
https://vediums.com/metodologia,200,(nenhuma -- absorvida por /como-funciona),N/A,MERGE,/como-funciona,noindex apos cutover,YES (301 pendente),"Redirect 301 /metodologia -> /como-funciona registrado no plano (secao 15 da missao G.1); NAO implementado em producao ainda"
https://vediums.com/sobre,200,/sobre,200 (local),MIGRATED,self,index,NO,Fase F.2
https://vediums.com/contato,200,/contato,200 (local),MIGRATED,self,index,NO,Fase F.3
https://vediums.com/privacidade,200,/privacidade,200 (local),MIGRATED,self,index,NO,Legal (concluido antes da Fase F.5)
https://vediums.com/termos,200,/termos,200 (local),MIGRATED,self,index,NO,Legal
https://vediums.com/cancelamento-reembolso,200,/cancelamento-reembolso,200 (local),MIGRATED,self,index,NO,Legal
https://vediums.com/blog,200,/blog,200 (local),MIGRATED,self,index,NO,Fase F.5 -- hub
https://vediums.com/blog/ingles/aula-de-ingles-online-ao-vivo-como-funciona-e-para-quem-vale-a-pena,200,/blog/ingles/aula-de-ingles-online-ao-vivo-como-funciona-e-para-quem-vale-a-pena,200 (local),MIGRATED,self,index,NO,"1 de 97 artigos migrados nesta fase (prova de conceito)"
"https://vediums.com/blog/<outros 96 slugs>",200 (cada um, ver 27-blog-url-migration-map.csv),(nenhuma rota Next ainda),N/A,PENDING FUTURE PHASE,N/A,segue indexado no Frappe,NAO ATE MIGRAR,"96 artigos restantes do inventario de 97 -- decisao individual (KEEP/REVIEW/etc.) ja registrada em 27-blog-url-migration-map.csv; nao remigrados nesta fase (missao F.5 nunca pediu migrar os 44/97 artigos, so a arquitetura)"
"https://vediums.com/curso/<slug> (18 URLs: niveis de ingles/espanhol/ioruba/PLE, trilhas de hebraico)",200 (confirmado por HTTP em fases anteriores -- Fases D-D.5),(nenhuma rota Next),N/A,OUT OF SCOPE -- SERVE VIA FRAPPE,N/A,index (no Frappe),NAO,"Paginas de nivel individual nunca fizeram parte do escopo desta migracao -- as 5 paginas-pilar (curso-de-*-online) linkam pra elas normalmente. Precisam continuar respondendo pelo Frappe apos qualquer cutover parcial (ver 29-cutover-plan.md)."
"https://vediums.com/teste-de-nivel, /teste-de-nivel-ingles",200 (confirmado Fase F.1),(nenhuma rota Next),N/A,OUT OF SCOPE -- SERVE VIA FRAPPE,N/A,index (no Frappe),NAO,"Testes de nivel sao feature de quiz do Frappe, fora do escopo do frontend Next (ver 16-how-it-works-seo-parity.md)"
"https://vediums.com/{en,es,fr,de,ru}/",200 (locale switcher aponta pra ca),(nenhuma rota Next),N/A,OUT OF SCOPE -- SERVE VIA FRAPPE,N/A,index (no Frappe),NAO,"Rollout i18n do site (paginas traduzidas) e um projeto separado, anterior a esta migracao Next (ver memoria project_i18n_n_language_rollout) -- nao remigrado aqui"
"https://vediums.com//professores",200 -> redireciona pra /sobre,(usa o link real pro /sobre via Header/Footer compartilhado),N/A,KEEP (redirect ja existe em producao),/sobre,index,JA EXISTE (nao mexido),"Fase F.2 confirmou que /professores ja redireciona pra /sobre em producao; Header/Footer do Next apontam pra /professores propositalmente (deixa o Frappe decidir o redirect)"
"https://vediums.com/matricula, /catalogo, /comunidade, /carreiras, /parcerias, /faq, /cookies, /gravacao-imagem-voz, /propriedade-intelectual, /privacidade/meus-dados, /programa-de-indicacao, /quanto-custa-curso-de-idiomas, /preparatorio-celpe-bras, /ingles-para-entrevista, /ingles-executivo, /ingles-para-viagens, /ingles-para-programadores, /ioruba-cultura-e-ancestralidade, /cursos-de-idiomas-online",200 (varias confirmadas em fases anteriores; nao re-testadas 1 a 1 nesta fase),(nenhuma rota Next),N/A,OUT OF SCOPE -- SERVE VIA FRAPPE,N/A,index (no Frappe),NAO,"Paginas de marketing/institucionais/utilitarias que NUNCA fizeram parte do escopo de nenhuma fase Next -- linkadas normalmente a partir do conteudo migrado (encontradas pelo crawler global, ver 32-qa-global-findings.md). Enumeracao completa via crawl real de producao (nao feito nesta sessao local) e um passo PRE-CUTOVER recomendado, nao um bloqueador desta fase."
