group_id,duplicate_kind,source_url,target_url,action,decision_status,evidence
live-title-001,same_title_multiple_urls,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-001,same_title_multiple_urls,https://vediums.com/blog/plano-de-30-dias-para-comecar-ioruba-com-base-solida,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-002,same_title_multiple_urls,https://vediums.com/blog/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-002,same_title_multiple_urls,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-003,same_title_multiple_urls,https://vediums.com/blog/how-to-ask-better-questions-in-brazilian-portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-003,same_title_multiple_urls,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-004,same_title_multiple_urls,https://vediums.com/blog/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-004,same_title_multiple_urls,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-005,same_title_multiple_urls,https://vediums.com/blog/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-005,same_title_multiple_urls,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-006,same_href_repeated,https://vediums.com/blog/ple-zh-078,https://vediums.com/blog/ple-zh-078,deduplicate_listing_or_database_record,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-007,same_title_multiple_urls,https://vediums.com/blog/portuguese-for-airport-arrival-and-first-hotel-check-in,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-007,same_title_multiple_urls,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-008,same_title_multiple_urls,https://vediums.com/blog/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-008,same_title_multiple_urls,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-009,same_title_multiple_urls,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-009,same_title_multiple_urls,https://vediums.com/blog/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-010,same_href_repeated,https://vediums.com/blog/ple-ru-077,https://vediums.com/blog/ple-ru-077,deduplicate_listing_or_database_record,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-011,same_title_multiple_urls,https://vediums.com/blog/how-to-use-live-classes-to-gain-speaking-confidence,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-011,same_title_multiple_urls,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-012,same_title_multiple_urls,https://vediums.com/blog/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,https://vediums.com/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-012,same_title_multiple_urls,https://vediums.com/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,https://vediums.com/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-013,same_title_multiple_urls,https://vediums.com/blog/como-usar-perguntas-culturais-para-aprofundar-a-aula,https://vediums.com/blog/ioruba/como-usar-perguntas-culturais-para-aprofundar-a-aula,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-013,same_title_multiple_urls,https://vediums.com/blog/ioruba/como-usar-perguntas-culturais-para-aprofundar-a-aula,https://vediums.com/blog/ioruba/como-usar-perguntas-culturais-para-aprofundar-a-aula,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-014,same_title_multiple_urls,https://vediums.com/blog/portugues-brasileno-para-llegar-a-brasil-preparado,https://vediums.com/es/blog/portugues-brasileno/portugues-brasileno-para-llegar-a-brasil-preparado,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-014,same_title_multiple_urls,https://vediums.com/es/blog/portugues-brasileno/portugues-brasileno-para-llegar-a-brasil-preparado,https://vediums.com/es/blog/portugues-brasileno/portugues-brasileno-para-llegar-a-brasil-preparado,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-015,same_title_multiple_urls,https://vediums.com/blog/ioruba/o-papel-do-professor-qualificado-no-ensino-de-ioruba,https://vediums.com/blog/ioruba/o-papel-do-professor-qualificado-no-ensino-de-ioruba,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-015,same_title_multiple_urls,https://vediums.com/blog/o-papel-do-professor-qualificado-no-ensino-de-ioruba,https://vediums.com/blog/ioruba/o-papel-do-professor-qualificado-no-ensino-de-ioruba,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-016,same_href_repeated,https://vediums.com/blog/brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,https://vediums.com/blog/brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,deduplicate_listing_or_database_record,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-017,same_title_multiple_urls,https://vediums.com/blog/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-017,same_title_multiple_urls,https://vediums.com/en/blog/brazilian-portuguese/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-018,same_title_multiple_urls,https://vediums.com/blog/ingles-para-conversas-por-telefone-e-chamadas-de-video,https://vediums.com/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-018,same_title_multiple_urls,https://vediums.com/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,https://vediums.com/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-019,same_title_multiple_urls,https://vediums.com/blog/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,https://vediums.com/blog/ioruba/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-019,same_title_multiple_urls,https://vediums.com/blog/ioruba/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,https://vediums.com/blog/ioruba/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-020,same_href_title_mismatch,https://vediums.com/blog/portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,https://vediums.com/blog/portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,deduplicate_listing_or_database_record,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-021,same_title_multiple_urls,https://vediums.com/blog/portuguese-for-everyday-bureaucracy-in-brazil,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-everyday-bureaucracy-in-brazil,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-021,same_title_multiple_urls,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-everyday-bureaucracy-in-brazil,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-everyday-bureaucracy-in-brazil,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-022,same_title_multiple_urls,https://vediums.com/blog/ioruba/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,https://vediums.com/blog/ioruba/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-022,same_title_multiple_urls,https://vediums.com/blog/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,https://vediums.com/blog/ioruba/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-023,same_href_repeated,https://vediums.com/blog/brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,https://vediums.com/blog/brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,deduplicate_listing_or_database_record,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-024,same_title_multiple_urls,https://vediums.com/blog/how-to-greet-people-in-brazil-without-sounding-too-formal,https://vediums.com/en/blog/brazilian-portuguese/how-to-greet-people-in-brazil-without-sounding-too-formal,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-024,same_title_multiple_urls,https://vediums.com/en/blog/brazilian-portuguese/how-to-greet-people-in-brazil-without-sounding-too-formal,https://vediums.com/en/blog/brazilian-portuguese/how-to-greet-people-in-brazil-without-sounding-too-formal,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-025,same_title_multiple_urls,https://vediums.com/blog/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,https://vediums.com/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-025,same_title_multiple_urls,https://vediums.com/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,https://vediums.com/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-026,same_title_multiple_urls,https://vediums.com/blog/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,https://vediums.com/blog/ioruba/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,planned_301_to_catalog_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-026,same_title_multiple_urls,https://vediums.com/blog/ioruba/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,https://vediums.com/blog/ioruba/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,keep_canonical,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
live-title-027,same_href_repeated,https://vediums.com/blog/portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,https://vediums.com/blog/portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,deduplicate_listing_or_database_record,BLOCKED_PENDING_DATABASE_BACKUP_AND_GSC,versioned catalog canonical plus live listing identity; production database and Search Console evidence unavailable
